 VerbalStem  Infinitive   Present     Preterite   Perfect     Stative
         G   parāsum      iparras     iprus       iptaras     paris 
         D   purrusum     uparras     uparris     uptarris    purrus 
         Š   šuprusum     ušapras     ušapris     uštapris    šuprus 
         N   naprusum     ipparras    ipparis     ittapras    naprus 
        Gt   pitrusum     iptarras    iptaras     -           pitrus 
        Dt   putarrusm    uptarras    uptarris    uptatarris  - 
        Št   šutaprusum   uštaparras  uštapris    uštatapris  šutaprus 
       Gtn   pitarrusum   iptanarras  iptarras    iptatarras  pitarrus 
       Štn   šutaprusum   uštanapras  uštapris    -           šutaprus 
       Ntn   itaprusum    ittanapras  ittapras    -           itaprus 
