𒁀	𒁀	005	ba, (pá)		Caplice3
𒍪	𒍪	006	zu, (ṣú), ṣú, sú	AŠ, DILI	Caplice3
𒅅	𒅅	080	eg/k/q, gál, ig/k/q	GÁL	Caplice3
𒄠	𒄠	170	am		Caplice3
𒄑	𒄑	296	iz, is, iṣ, es, eṣ, ez, giš, níš	GIŠ, SÀG	Caplice3
𒋗	𒋗	354	šu, qat, qad, and	ŠU	Caplice3
𒌓	𒌓	381	u~4~, pir, hiš, par, bír, ṭam, tam, ud/t/ṭ, lih, lah, tú, è	U~4~, UTU, BABBAR	Caplice3
𒅎	𒅎	399	šar~5~, im, em	IM, IŠKUR	Caplice3
𒆬	𒆬	468	(kù)	KÙ, KUG	Caplice3
𒍝	𒍝	586	sà, ṣa, za		Caplice3
𒆬𒄀	𒆬𒄀	468+085		GUŠKIN (KÙ+GI)	Caplice3
𒆬𒌓	𒆬𒌓	468+381		KÙ.BABBAR	Caplice3
