𒀀	𒀀	579	a, a, íd	A(.MEŠ)=mû	Chap10Exercise.txt
𒊮	𒊮	384	lib/p, šà	ŠÀ	Chap10Exercise.txt
𒄭	𒄭	396	sár, šár, ṭí, ṭé, dí, ḫi, ḫe, ṭà	DÙG	Chap10Exercise.txt
𒀀	𒀀	579	a, a, íd	A(.MEŠ)=mû	Chap10Exercise.txt
𒀉	𒀉	334	id, ed	À	Chap10Exercise.txt
𒈾	𒈾	070	na	NA.GADA=nāqidum; NA.RU=narûm	Chap10Exercise.txt
𒋗	𒋗	354	šu, qat, qad, and	ŠU	Chap10Exercise.txt
𒉡	𒉡	075	nu, là		Chap10Exercise.txt
𒅆	𒅆	449	ši, lim, pàn, igi, lì, še~20~	IGI, LIM	Chap10Exercise.txt
𒅎	𒅎	399	šar~5~, im, em	IM, IŠKUR	Chap10Exercise.txt
𒀀	𒀀	579	a, a, íd	A(.MEŠ)=mû	Chap10Exercise.txt
𒊮	𒊮	384	lib/p, šà	ŠÀ	Chap10Exercise.txt
𒄭	𒄭	396	sár, šár, ṭí, ṭé, dí, ḫi, ḫe, ṭà	DÙG	Chap10Exercise.txt
𒀀	𒀀	579	a, a, íd	A(.MEŠ)=mû	Chap10Exercise.txt
𒀉	𒀉	334	id, ed	À	Chap10Exercise.txt
𒈾	𒈾	070	na	NA.GADA=nāqidum; NA.RU=narûm	Chap10Exercise.txt
𒋗	𒋗	354	šu, qat, qad, and	ŠU	Chap10Exercise.txt
𒉡	𒉡	075	nu, là		Chap10Exercise.txt
𒅆	𒅆	449	ši, lim, pàn, igi, lì, še~20~	IGI, LIM	Chap10Exercise.txt
𒅎	𒅎	399	šar~5~, im, em	IM, IŠKUR	Chap10Exercise.txt
